ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/13253,ŞARJEN OFİS,Levent Mahallesi Funda Sokağı  No:3 Beşiktaş / İSTANBUL,3 SM ŞARJ İSTASYONLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,ŞARJEN,41.0776206253896,29.0182870918879,Asia
ŞRJ/13288,BAŞAKCITY BUTİK SİTESİ,Başakşehir Mahallesi Necati Çoşan Caddesi  No:28 Başakşehir / İSTANBUL,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN,41.1114976159647,28.7889964970212,Europe
ŞRJ/13290,KİPTAŞ ESENYURT 3.ETAP KONUTLARI,Orhangazi Mahallesi 1646 Sokağı  No:7 Esenyurt / İSTANBUL,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN,41.0655251818937,28.654950130402,Europe
ŞRJ/13301,YALI TARIM ÜRÜNLERİ HAYVANCILIK İNŞAAT KUYUMCULUK FOTO. SAN. VE TİC. LTD.,Rumeli Hisarı Mahallesi Hisarlı Salihbey Sokağı  No:11 Sarıyer / İSTANBUL,BAŞARI GLOBAL SAVUNMA SANAYİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,AKTİF ŞARJ,41.090264160177,29.0519813362572,Asia
ŞRJ/13302,YALI TURİZİM VE DIŞ TİC. A.Ş.,Büyükdere Çayırbaşı Caddesi Caddesi  No:246 Sarıyer / İSTANBUL,BAŞARI GLOBAL SAVUNMA SANAYİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,AKTİF ŞARJ,41.1615813388099,29.0459368486565,Asia
ŞRJ/13303,Zeplin Marmara Evleri 2 ? A6,Kavaklı Mahallesi Yeşilyurt Caddesi  No:5  İhlas Marmara Evleri 2 Kısım A Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9875464141446,28.6596987590789,Europe
ŞRJ/13304,Zeplin Marmara 2 Evleri - A10,Kavaklı Mahallesi Yeşilyurt Caddesi  No:5  İhlas Marmara Evleri 2 Kısım A Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9875464141446,28.6596987590789,Europe
ŞRJ/13305,Zeplin Marmara 2 Evleri - A15,Kavaklı Mahallesi Yeşilyurt Caddesi  No:5  İhlas Marmara Evleri 2 Kısım A Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9875464141446,28.6596987590789,Europe
ŞRJ/13306,Zeplin Marmara 2 Evleri - A19,Kavaklı Mahallesi Yeşilyurt Caddesi  No:5  İhlas Marmara Evleri 2 Kısım A19 Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9876997110352,28.6580804769164,Europe
ŞRJ/13307,Zeplin Marmara 2 Evleri - B2,Kavaklı Mahallesi Yeşilyurt Caddesi  İhlas Marmara Evleri 2 Kısım B2 Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9864366715485,28.6596353801499,Europe
ŞRJ/13308,Zeplin Marmara 2 Evleri - B16,Kavaklı Mahallesi Yeşilyurt Caddesi  No:6/AD  İhlas Marmara Evleri 2 Kısım B16 Blok Beylikdüzü / İSTANBUL,ZEPLİN TURİZM ARAÇ KİRALAMA MOBİLİTE VE ENERJİ YATIRIMLARI ANONİM ŞİRKETİ,ZEPLİN CAR rental,40.9883981486057,28.6555644732325,Europe
